variant,case_id,expected_policy_ids,retrieved_policy_ids,retrieval_hit,expected_decision,predicted_decision,decision_correct
B,EVAL001,[],"['POL-03', 'POL-13', 'POL-20']",,ESCALATE,REJECT,0
B,EVAL002,['POL-02'],"['POL-02', 'POL-07', 'POL-08']",True,APPROVE,APPROVE,1
B,EVAL003,['POL-03'],"['POL-02', 'POL-03', 'POL-30']",True,REQUEST_INFORMATION,REQUEST_INFORMATION,1
B,EVAL004,['POL-10'],"['POL-02', 'POL-18', 'POL-32']",False,APPROVE,REJECT,0
B,EVAL005,['POL-02'],"['POL-03', 'POL-08', 'POL-30']",False,REJECT,REQUEST_INFORMATION,0
B,EVAL006,['POL-05'],"['POL-05', 'POL-06', 'POL-23']",True,REJECT,REJECT,1
B,EVAL007,"['POL-03', 'POL-30']","['POL-03', 'POL-04', 'POL-30']",True,REQUEST_INFORMATION,REQUEST_INFORMATION,1
B,EVAL008,['POL-17'],"['POL-10', 'POL-17', 'POL-33']",True,APPROVE,REQUEST_INFORMATION,0
B,EVAL009,['POL-10'],"['POL-10', 'POL-21', 'POL-23']",True,APPROVE,REQUEST_INFORMATION,0
B,EVAL010,"['POL-03', 'POL-27']","['POL-02', 'POL-03', 'POL-27']",True,REQUEST_INFORMATION,REQUEST_INFORMATION,1
B,EVAL011,['POL-09'],"['POL-10', 'POL-23', 'POL-31']",False,REJECT,REJECT,1
B,EVAL012,"['POL-03', 'POL-04']","['POL-02', 'POL-03', 'POL-04']",True,APPROVE,REQUEST_INFORMATION,0
B,EVAL013,"['POL-03', 'POL-04']","['POL-03', 'POL-04', 'POL-30']",True,REQUEST_INFORMATION,REQUEST_INFORMATION,1
B,EVAL014,"['POL-10', 'POL-14']","['POL-14', 'POL-25', 'POL-32']",True,REQUEST_INFORMATION,REQUEST_INFORMATION,1
B,EVAL015,[],"['POL-20', 'POL-24', 'POL-32']",,ESCALATE,REJECT,0
B,EVAL016,['POL-07'],"['POL-03', 'POL-07', 'POL-25']",True,ESCALATE,APPROVE,0
B,EVAL017,['POL-09'],"['POL-09', 'POL-21', 'POL-23']",True,REJECT,REJECT,1
B,EVAL018,"['POL-02', 'POL-16']","['POL-03', 'POL-04', 'POL-29']",False,REQUEST_INFORMATION,REQUEST_INFORMATION,1
B,EVAL019,"['POL-09', 'POL-15']","['POL-09', 'POL-15', 'POL-35']",True,REQUEST_INFORMATION,REJECT,0
B,EVAL020,"['POL-05', 'POL-13']","['POL-05', 'POL-07', 'POL-13']",True,APPROVE,APPROVE,1
C-V1,EVAL001,[],"['POL-09', 'POL-11', 'POL-13']",,ESCALATE,ESCALATE,1
C-V1,EVAL002,['POL-02'],"['POL-02', 'POL-03', 'POL-29']",True,APPROVE,REJECT,0
C-V1,EVAL003,['POL-03'],"['POL-03', 'POL-19', 'POL-30']",True,REQUEST_INFORMATION,REQUEST_INFORMATION,1
C-V1,EVAL004,['POL-10'],"['POL-10', 'POL-11', 'POL-23']",True,APPROVE,APPROVE,1
C-V1,EVAL005,['POL-02'],"['POL-02', 'POL-03', 'POL-30']",True,REJECT,REJECT,1
C-V1,EVAL006,['POL-05'],"['POL-05', 'POL-06', 'POL-21']",True,REJECT,REJECT,1
C-V1,EVAL007,"['POL-03', 'POL-30']","['POL-03', 'POL-04', 'POL-30']",True,REQUEST_INFORMATION,ESCALATE,0
C-V1,EVAL008,['POL-17'],"['POL-17', 'POL-24', 'POL-32']",True,APPROVE,ESCALATE,0
C-V1,EVAL009,['POL-10'],"['POL-10', 'POL-23', 'POL-31']",True,APPROVE,APPROVE,1
C-V1,EVAL010,"['POL-03', 'POL-27']","['POL-03', 'POL-27', 'POL-30']",True,REQUEST_INFORMATION,ESCALATE,0
C-V1,EVAL011,['POL-09'],"['POL-10', 'POL-23', 'POL-31']",False,REJECT,REJECT,1
C-V1,EVAL012,"['POL-03', 'POL-04']","['POL-03', 'POL-04', 'POL-19']",True,APPROVE,REQUEST_INFORMATION,0
C-V1,EVAL013,"['POL-03', 'POL-04']","['POL-03', 'POL-04', 'POL-30']",True,REQUEST_INFORMATION,ESCALATE,0
C-V1,EVAL014,"['POL-10', 'POL-14']","['POL-14', 'POL-15', 'POL-18']",True,REQUEST_INFORMATION,REQUEST_INFORMATION,1
C-V1,EVAL015,[],"['POL-03', 'POL-24', 'POL-32']",,ESCALATE,ESCALATE,1
C-V1,EVAL016,['POL-07'],"['POL-03', 'POL-15', 'POL-19']",False,ESCALATE,ESCALATE,1
C-V1,EVAL017,['POL-09'],"['POL-09', 'POL-15', 'POL-23']",True,REJECT,REJECT,1
C-V1,EVAL018,"['POL-02', 'POL-16']","['POL-02', 'POL-03', 'POL-29']",True,REQUEST_INFORMATION,ESCALATE,0
C-V1,EVAL019,"['POL-09', 'POL-15']","['POL-09', 'POL-12', 'POL-15']",True,REQUEST_INFORMATION,REJECT,0
C-V1,EVAL020,"['POL-05', 'POL-13']","['POL-05', 'POL-06', 'POL-07']",True,APPROVE,APPROVE,1
