case_id,merchant,date,amount,currency,category,mismatch
EVAL001,True,True,True,True,False,True
EVAL002,True,True,True,True,True,True
EVAL003,True,False,True,True,True,False
EVAL004,True,True,True,True,True,True
EVAL005,True,True,True,True,True,True
EVAL006,True,True,False,False,True,True
EVAL007,True,True,True,False,True,True
EVAL008,True,True,True,True,False,True
EVAL009,True,True,True,True,False,True
EVAL010,True,True,True,True,True,True
EVAL011,True,True,True,True,True,True
EVAL012,False,True,True,True,True,True
EVAL013,True,True,True,True,True,True
EVAL014,True,True,False,True,True,True
EVAL015,True,False,True,True,True,True
EVAL016,True,True,True,True,False,True
EVAL017,True,True,True,True,False,True
EVAL018,True,True,False,True,True,True
EVAL019,True,True,True,True,True,True
EVAL020,True,True,True,True,False,True
