case_id,expected_policy_ids,applicable_policy_ids,policy_match_status
EVAL001,[],[],NO_APPLICABLE_POLICY
EVAL002,['POL-02'],['POL-02'],MATCH
EVAL003,['POL-03'],['POL-03'],MATCH
EVAL004,['POL-10'],['POL-10'],MATCH
EVAL005,['POL-02'],['POL-02'],MATCH
EVAL006,['POL-05'],['POL-05'],MATCH
EVAL007,"['POL-03', 'POL-30']","['POL-03', 'POL-30']",MATCH
EVAL008,['POL-17'],['POL-17'],MATCH
EVAL009,['POL-10'],['POL-10'],MATCH
EVAL010,"['POL-03', 'POL-27']","['POL-03', 'POL-27']",MATCH
EVAL011,['POL-09'],['POL-09'],MATCH
EVAL012,"['POL-03', 'POL-04']","['POL-03', 'POL-04']",MATCH
EVAL013,"['POL-03', 'POL-04']","['POL-02', 'POL-03', 'POL-04']",PARTIAL_MATCH
EVAL014,"['POL-10', 'POL-14']","['POL-10', 'POL-14']",MATCH
EVAL015,[],[],MATCH
EVAL016,['POL-07'],['POL-07'],MATCH
EVAL017,['POL-09'],['POL-09'],MATCH
EVAL018,"['POL-02', 'POL-16']","['POL-02', 'POL-16']",MATCH
EVAL019,"['POL-15', 'POL-09']","['POL-15', 'POL-09']",MATCH
EVAL020,"['POL-05', 'POL-13']","['POL-05', 'POL-13']",MATCH
