case_id,text,success,engine,error,latency_ms,parsed_merchant,parsed_date,parsed_total_amount,parsed_currency,parsed_billed_to,parsed_line_items
DEV001,"-TOAST &_
KOPI HOUSE
Toast & Kopi House
313 Somerset
313 Orchard Road, #B3-06/07
Si ngapore 238895
Tel: +65 6235 8156
GST Reg No.
202012345D
DATE
RECEIPT NO
TABLE
CASHIER
2026-09-04 19.18; 35
EVAL002-0904-0018
18
Nurul
QTY DESCRIPTION
AMOUNT (SGD)
Dinner set
39.50
SUBTOTAL
10% SERVICE CHARGE
9% GST
39.50
0.00
0.00
TOTAL
SGD 39.50
PAYMENT METHOD
CARD NO.
APPROVAL CODE
REFERENCE NO,
Visa
**** **** **** 1234
SGD 39.50
872645
20260904191835264
Thank you I
Please come again.
www. toastkopi house. com",True,vision,,179.80749999969703,-TOAST &_,2026-09-04,39.5,SGD,,"[{""description"": ""Dinner set"", ""amount"": 39.5}]"
DEV002,"Q Orchard Digital
Orchard Digital Pte. Ltd.
313 Orchard Road
#B2-01, Orchard Gateway
Singapore 238895
Tel.. +65 6235 6789
GST Reg No.: 202108765H
TAX INVOICE
Receipt No.
Date
Time
Cashier
Store
EVAL004-260906-0012
2026-09-06
15:22:17
Jason Lim
Orchard Gateway
Qty
Description
Amount (SGD)
USB-C dock
189.00
Subtotal
GST (9Y.)
SGD 189.00
SGD 17.01
TOTAL
SGD 189.00
PAYMENT
Visa
Card No.
**** **** **** 1234
Approval Code
125678
Reference No.
609060152217
SGD 189.00
Thank you for shopping with usl
Please retain this receipt for your records.
www.orcharddigital. sg",True,vision,,116.14558299970668,Q Orchard Digital,2026-09-06,189.0,SGD,,"[{""description"": ""USB-C dock"", ""amount"": 189.0}]"
DEV003,"Orchid
DUMPLING HOUSE
MfL,J,
Orchid Dumpling House Pte. Ltd.
6 Eu Tong Sen Street
#01-23 The Central
Si ngapore 059817
Tel: +65 6438 9050
GST Reg No.
201815123M
RECEIPT
Receipt No.
Date
Time
Table No.
No. of Pax
Cashi er
EVAL'L003260905-0018
2026-09-05
12:41:33
18
Wei Ling
QTY DESCRIPTION
AMOUNT (SGD)
Client lunch
148.00
Subtotal
10% Service Charge
9% GST
148.00
0.00
0.00
TOTAL SGD
148.00
PAYMENT
Visa
Card No.
Approval Code
Ref erence No.
148.00
**** **** **** 1234
876543
20260905124133876543
Thank you !
We look forward to serving you again.
www. orchi ddumpli nghouse. com",True,vision,,120.4520829996909,Orchid,2026-09-05,148.0,SGD,,"[{""description"": ""Client lunch"", ""amount"": 148.0}]"
DEV004,"METROCAB
SINGAPORE
Metrocab Singapore Pte. Ltd.
20 Ang Mo Kio Street 63
Si ngapore 569111
Tel: 6555 8888
GST Reg No.
200410297W
RECEIPT NO.
EVAL006-20260908-0123
DATE
2026-09-08
TIME
14:42:18
TAXI NO.
SHD1234Z
DRIVER ID
876543
PICK-UP
14:10
DROP-OFF
14:41
DISTANCE
11.2 km
DURATION
00:31:05
PAYMENT METHOD Visa Card
CARD NO.
**** **** **** 1234
APPROVAL CODE
654321
REFERENCE NO.
638290120123
DESCRIPTION
AMOUNT (SGD)
Taxi fare
21.00
TOTAL
SGD 21.00
Includi ng GST (9%)
SGD 1.73
THANK YOU FOR TRAVELLING WITH US!
24-Hour Feedback Line; 6555 8888
www.metrocabsg. com, sg",True,vision,,132.2148749995904,METROCAB,2026-09-08,21.0,SGD,,"[{""description"": ""Taxi fare"", ""amount"": 21.0}]"
DEV005,"HARBOUR
FOOD HALL-
SINGAPORE
Harbour Food Hall Pte. Ltd.
1 Maritiffle Square
#B2-01 HarbourFront Centre
Singapore 099253
Tel: +65 6272 1184
GST Reg No: 201912345M
RECEIPT
EVAL005-260907-0012
2026-09-07
18:47;23
Amir
HFS-03
Receipt No.
Date
Time
Cashier
Terrninal
QTY DESCRIPTION
AMOUNT (SGD)
Dinner
42.00
Subtotal
10% Service Charge
9% GST
42.00
0.00
0.00
TOTAL SGD
42.00
PAYMENT METHOD
Visa
Card No.
**** **** **** 1234
Approval Code: 543210
Transaction ID: EVAL005120260907184723
42.00
Thank you !
See you again soon.
www. harbourfoodhall.sg",True,vision,,114.2421659997126,HARBOUR,2026-09-07,42.0,SGD,,"[{""description"": ""Dinner"", ""amount"": 42.0}]"
DEV006,"omeTech
Singapore
HomeTech Singapore Pte. Ltd.
10 Anson Road
#12-15 International Plaza
Singapore 079903
Tel: +65 6420 1234
GST Reg No.: 201812345M
TAX INVOICE
Receipt No.
Date
Time
Cashier
Store
Terminal
EVAL009202609110123
2026-09-11
14:38:52
Lim Wei Jie
HomeTech Singapore
HTS02
QTY
DESCRIPTION
AMOUNT ISGD)
Monitor
230.00
SUBTOTAL
GST (9%)
SGD 230.00
SGD 18.01
TOTAL SGD
230.00
PAYMENT
Visa
Card No.
Approval Code
Reference No.
SGD 230.00
**** **** **** 1234
876543
202609111438529876543
Thank you for shopping with HomeTech!
Please retain this receipt for your records.
W￿1. hometech. com. sg",True,vision,,115.77808299989556,omeTech,2026-09-11,230.0,SGD,,"[{""description"": ""Monitor"", ""amount"": 230.0}]"
DEV007,"AI ASIA FORUM
Shaping the Future with Intelligence
RECEIPT / INVOICE
Invoice No.
AIAF-EVAL008-001246
Date
2026-09-10
Bill To
Ms. Jane Tan
National University of Singapore
21 Lower Kent Ridge Road
Singapore 119077
Email
jane.tan@nus.edu.sg
Al Asia Forum 2026
Event
Event Date
2026-11-18 to 2026-11-20
Venue
Sands Expo & Convention Centre
Marina Bay Sands, Singapore
DESCRIPTION
AMOUNT ISGD)
Conference registration
SGD 390.00
TOTAL SGD 390.00
Payment Method
Credit Card (Visa}
Transaction ID
TXN20260910088654
Payment Date
2026-09-10 10..15 ISGTI
Payment Status
PAID
Thank you for registering.
We look forward to
welcoming you to the foium.
Amount Paid
SGD 390.00
Al Asia Forum
Organised by Constellar Pte. Ltd.
l HarbourFront Avenue, #09-02, Keppel Bay Tower,
Singapore 098632
Email.. info@aiasiaforum.com I Website.. WWbY.aiasiaforum.com",True,vision,,137.95145899985073,AI ASIA FORUM,2026-09-10,390.0,SGD,Ms. Jane Tan,"[{""description"": ""Conference registration"", ""amount"": 390.0}]"
DEV008,"& GiftHub SG
l O Anson Road
#12-15 International Plaza
Si ngapore 079903
Tel , +65 6222 1234
GST Reg No: 201812345M
OATE
TIME
RECEIPT NO
CASHIER
STORE
2026-09-12
14:35:28
EVALOI 009000123
Sarah Tan
Gi f tHub SG
QTY DESCRIPTION
AMOUNT (SGD)
Gift card
60.00
SUBTOTAL
GST (0%)
SGD 60.00
SGD 0.00
TOTAL
SGD 60.00
PAYMENT METHOD
Vi sa Card (Contactless)
Card No: **** **** **** 1234
Approval Code: 876543
Transacti on ID: 202609121435289876
No Si gnature Requi red
SGD 60.00
Thank you for your purchase!
Please retain this receipt for your records.
www. gi fthubsg. com",True,vision,,117.27249999967171,& GiftHub SG,2026-09-12,60.0,SGD,,"[{""description"": ""Gift card"", ""amount"": 60.0}]"
DEV009,"Riverside
Seafood
Riverside Seafood Pte. Ltd.
3A River Valley Road
#01-02 Clarke Quay
Singapore 179020
Tel: +65 6733 9822
GST Reg. No.
201012345W
TAX INVOICE
EVAL007202609090123
2026-09-09
19:12:34
18
Receipt No.
Date
Tirne
Table No.
No. of Pax
Cashier
Kelvin
QTY
DESCRIPTION
AMOUNT (SGD)
Client dinner
132.00
Subtotal
10% Service Charge
9% GST
132.00
0.00
0.00
TOTAL SGD
132.00
PAYMENT
Visa
Card No.
Approval Code
Ref erence No.
132.00
**** **** **** 1234
876543
EVAL00720260909191234
Thank you for dining with usl
We look forward to serving you again.
www. riversideseafood. cotTr.sg",True,vision,,114.5709579996037,Riverside,2026-09-09,132.0,SGD,,"[{""description"": ""Client dinner"", ""amount"": 132.0}]"
DEV010,"AI ASIA SUMMIT
192 Tampines Cent ral
Singapore 589739
GST Reg No: 239194579Q
PAYMENT RECEIPT
EVAL008-47678
2026-09-10
21:43:04
Receipt No
Date
Time
ITEM
AMOUNT ( SGD )
Conference registration
TOTAL
SGD 390.00
Payment
Txn Ref
CORPORATE CARD
799114957933
Thank you for your purchase.
Please retain this receipt for your records.",True,vision,,64.48062499930529,AI ASIA SUMMIT,2026-09-10,390.0,SGD,,"[{""description"": ""Conference registration"", ""amount"": 390.0}]"
