case_id,variant,expected_decision,expected_policy_ids,predicted_decision,reason,cited_policy_ids,missing_information,confidence,retrieved_policy_ids,status,cost_usd,latency_ms,decision_correct,grounding_score,safe_uncertainty_score,explanation_quality_score
EVAL001,C-FS,ESCALATE,[],ESCALATE,Applicable polic(y/ies): none applicable.,[],[],0.95,"['POL-11', 'POL-13', 'POL-09']",CALLED,0.0003186,2654.809749999913,1,2,2,2
EVAL002,C-FS,APPROVE,['POL-02'],APPROVE,Applicable polic(y/ies): POL-02 (Staff Sustenance Allowance). The expense is for a meal during approved business travel and is within the SGD 40 cap.,['POL-02'],[],0.95,"['POL-03', 'POL-02', 'POL-29']",CALLED,0.0004443,1275.2300840002135,1,2,2,2
EVAL003,C-FS,REQUEST_INFORMATION,['POL-03'],REQUEST_INFORMATION,Applicable polic(y/ies): POL-03 (Customer Hospitality). Missing the identity of the external client or organization involved in the dinner.,['POL-03'],['external_client_identity'],0.85,"['POL-03', 'POL-30', 'POL-19']",CALLED,0.00036735,1219.9389170000359,1,2,2,2
EVAL004,C-FS,APPROVE,['POL-10'],APPROVE,"Applicable polic(y/ies): POL-10 (Workplace Apparatus). The USB-C dock is a necessary piece of equipment for the campaign workstation, and the expense is within the allowable limit.",['POL-10'],[],0.95,"['POL-11', 'POL-23', 'POL-10']",CALLED,0.0003609,1278.2270000006974,1,2,2,2
EVAL005,C-FS,REJECT,['POL-02'],REJECT,The expense does not meet the conditions of the Staff Sustenance Allowance policy as it exceeds the SGD 40 cap for meals claimed by employees on business travel.,['POL-02'],[],0.95,"['POL-03', 'POL-30', 'POL-02']",CALLED,0.0003603,1181.7098749997967,1,2,2,2
EVAL006,C-FS,REJECT,['POL-05'],REJECT,"The taxi expense is for commuting from home to the normal workplace, which is not reimbursable under the company's policies.",['POL-05'],[],0.95,"['POL-06', 'POL-05', 'POL-21']",CALLED,0.0003528,1412.2726250006963,1,2,2,2
EVAL007,C-FS,REQUEST_INFORMATION,"['POL-03', 'POL-30']",ESCALATE,"Applicable polic(y/ies): POL-30 (Large-Group Client Hospitality) and POL-03 (Customer Hospitality). However, the identity of the external client or business contact is missing, which is necessary for compliance.","['POL-30', 'POL-03']",['external_client_identity'],0.85,"['POL-30', 'POL-03', 'POL-04']",CALLED,0.00033705,2444.229499999892,0,2,1,2
EVAL008,C-FS,APPROVE,['POL-17'],ESCALATE,"The receipt is billed to a different person (Ms. Jane Tan) than the claimant (Cheryl Ng), and there is no evidence provided to establish the relationship between them. This raises an identity issue that cannot be resolved without further information.",[],[],0.95,"['POL-17', 'POL-24', 'POL-32']",CALLED,0.00032775,2230.393584000012,0,0,1,2
EVAL009,C-FS,APPROVE,['POL-10'],APPROVE,"The ergonomic office chair is an eligible item under the Home Office Equipment Stipend policy, and the expense meets the necessary conditions.",['POL-23'],[],0.95,"['POL-23', 'POL-10', 'POL-31']",CALLED,0.0004341,1044.6209170004295,1,0,2,2
EVAL010,C-FS,REQUEST_INFORMATION,"['POL-03', 'POL-27']",ESCALATE,"Applicable polic(y/ies): POL-27 (Team Offsite Events) and POL-03 (Customer Hospitality). The expense involves both a team celebration and client entertainment, but it is unclear how to allocate the costs between the two categories, requiring human judgment.","['POL-27', 'POL-03']",[],0.85,"['POL-27', 'POL-03', 'POL-30']",CALLED,0.00032595,2778.124375000516,0,2,1,2
EVAL011,C-FS,REJECT,['POL-09'],REJECT,"The expense for running shoes does not meet the criteria for reimbursement under any applicable policy, as it does not qualify as specialized technical equipment or workplace apparatus.","['POL-31', 'POL-10']",[],0.95,"['POL-31', 'POL-10', 'POL-23']",CALLED,0.0002934,1997.6366250002684,1,0,2,2
EVAL012,C-FS,APPROVE,"['POL-03', 'POL-04']",REQUEST_INFORMATION,"The expense is for a client meal, but the identity of the external client (Orion Pte Ltd) is not explicitly stated in the submission, which is required for compliance under the customer hospitality policy.",['POL-03'],['external_client_name'],0.85,"['POL-03', 'POL-04', 'POL-19']",CALLED,0.00031125,2492.67058300029,0,2,1,2
EVAL013,C-FS,REQUEST_INFORMATION,"['POL-03', 'POL-04']",ESCALATE,Applicable polic(y/ies): none applicable.,[],[],0.95,"['POL-04', 'POL-03', 'POL-30']",CALLED,0.00033105,932.6044579993322,0,0,1,2
EVAL014,C-FS,REQUEST_INFORMATION,"['POL-10', 'POL-14']",REQUEST_INFORMATION,"The expense was incurred on a weekend, and the employee must provide a specific operational reason for the timing of the purchase to comply with policy POL-14.",['POL-14'],['specific operational reason for weekend purchase'],0.85,"['POL-14', 'POL-15', 'POL-18']",CALLED,0.00030585,2138.7595830001374,1,2,2,2
EVAL015,C-FS,ESCALATE,[],ESCALATE,Applicable polic(y/ies): none applicable.,[],[],0.95,"['POL-32', 'POL-24', 'POL-03']",CALLED,0.00028125,1916.0363339997275,1,2,2,2
EVAL016,C-FS,ESCALATE,['POL-07'],ESCALATE,"The receipt is issued to a different person (R. Krishnan) than the claimant (Alice Tan), and the evidence does not establish the relationship between them. This raises an identity issue that cannot be resolved without further information.",[],[],0.95,"['POL-03', 'POL-15', 'POL-19']",CALLED,0.00031635,2423.950082999909,1,0,2,2
EVAL017,C-FS,REJECT,['POL-09'],REJECT,"The expense is for personal home office supplies, which are not reimbursable under policy POL-09 (Private Acquisitions).",['POL-09'],[],0.95,"['POL-09', 'POL-23', 'POL-15']",CALLED,0.00034185,1219.9182499998642,1,2,2,2
EVAL018,C-FS,REQUEST_INFORMATION,"['POL-02', 'POL-16']",ESCALATE,Applicable polic(y/ies): none applicable.,[],[],0.95,"['POL-03', 'POL-29', 'POL-02']",CALLED,0.0003498,1183.8151250003648,0,0,1,2
EVAL019,C-FS,REQUEST_INFORMATION,"['POL-09', 'POL-15']",REJECT,"The receipt includes personal snacks, which are not reimbursable under policy POL-09. The claimed items do not meet the criteria for reimbursement as they primarily benefit the employee personally.",['POL-09'],[],0.95,"['POL-09', 'POL-15', 'POL-12']",CALLED,0.00029865,2209.8635000002105,0,2,0,2
EVAL020,C-FS,APPROVE,"['POL-05', 'POL-13']",APPROVE,Applicable polic(y/ies): POL-05 (Ground Conveyance for Work Journeys).,['POL-05'],[],0.95,"['POL-07', 'POL-05', 'POL-06']",CALLED,0.0002991,1720.3533749998314,1,2,2,2
