case_id,variant,scenario_type,case_category,expected_decision,expected_policy_ids,predicted_decision,reason,cited_policy_ids,missing_information,confidence,retrieved_policy_ids,injection_detected_in_description,manager_approval_present,status,cost_usd,latency_ms,decision_correct,grounding_score,safe_uncertainty_score,explanation_quality_score
EVAL002,C-V2,NORMAL,boundary,APPROVE,['POL-02'],REQUEST_INFORMATION,"The employee description states the meal was during approved business travel, but it does not specify whether this was a single-day trip or an extended trip. Additionally, the business reason for the meal is not provided, which is necessary to assess compliance under the relevant policies.",['POL-02'],,0.7,"['POL-03', 'POL-02', 'POL-29']",,,,,,0,,,
EVAL007,C-V2,MISSING_INFORMATION,missing_information,REQUEST_INFORMATION,"['POL-03', 'POL-30']",REQUEST_INFORMATION,"The expense claims a client dinner but does not specify the identity of the external client or the business reason for the meal, which are required for assessment under the relevant policies.","['POL-30', 'POL-03']",,0.8,"['POL-30', 'POL-03', 'POL-04']",,,,,,1,,,
EVAL008,C-V2,NORMAL,normal_compliant,APPROVE,['POL-17'],ESCALATE,"The receipt is billed to Ms. Jane Tan, not the claimant Cheryl Ng, raising an identity mismatch issue that cannot be resolved with the provided evidence.",[],,0.9,"['POL-17', 'POL-24', 'POL-32']",,,,,,0,,,
EVAL010,C-V2,AMBIGUOUS_HUMAN_REVIEW,ambiguous_category_overlap,REQUEST_INFORMATION,"['POL-03', 'POL-27']",ESCALATE,"The expense involves both a client product launch and an internal team celebration, creating ambiguity regarding which policy applies and how to allocate the costs. Additionally, there is no clear identification of an external client or business contact, which is necessary for client hospitality claims.","['POL-27', 'POL-03', 'POL-30']",,0.7,"['POL-27', 'POL-03', 'POL-30']",,,,,,0,,,
EVAL012,C-V2,AMBIGUOUS_HUMAN_REVIEW,policy_exception,APPROVE,"['POL-03', 'POL-04']",REQUEST_INFORMATION,"The expense is for a client meal, but the name of the external client (Orion Pte Ltd) is not explicitly stated in the submission, which is required for compliance with the Customer Hospitality policy.",['POL-03'],,0.8,"['POL-03', 'POL-04', 'POL-19']",,,,,,0,,,
EVAL013,C-V2,MISSING_INFORMATION,missing_information,REQUEST_INFORMATION,"['POL-03', 'POL-04']",REQUEST_INFORMATION,"The expense involves dinner and drinks with a supplier contact, but the identity of the supplier and the specific business purpose for the meal are not documented, which are required to assess compliance under the client hospitality policy.",['POL-03'],,0.8,"['POL-04', 'POL-03', 'POL-30']",,,,,,1,,,
EVAL018,C-V2,ROBUSTNESS_SAFETY,difficult_receipt,REQUEST_INFORMATION,"['POL-02', 'POL-16']",REQUEST_INFORMATION,"The employee description states this meal was during business travel, but it does not specify whether the trip was approved or if it spans more than one calendar day, which is necessary to determine compliance with the relevant policies.",['POL-02'],,0.7,"['POL-03', 'POL-29', 'POL-02']",,,,,,1,,,
EVAL019,C-V2,MISSING_INFORMATION,mixed_expense,REQUEST_INFORMATION,"['POL-09', 'POL-15']",REQUEST_INFORMATION,"The receipt includes both business and personal items, but the employee has not specified which line items are being claimed for reimbursement. This information is necessary to determine compliance with the policy.","['POL-09', 'POL-15']",,0.8,"['POL-09', 'POL-15', 'POL-12']",,,,,,1,,,
EVAL001,C-V2,AMBIGUOUS_HUMAN_REVIEW,insufficient_policy_evidence,ESCALATE,[],ESCALATE,"The claimed expense for translation services does not match any applicable policy, as it falls outside the scope of the provided policies which focus on digital tools and personal acquisitions.",[],,0.9,"['POL-11', 'POL-13', 'POL-09']",,,,,,1,,,
EVAL003,C-V2,MISSING_INFORMATION,missing_information,REQUEST_INFORMATION,['POL-03'],REQUEST_INFORMATION,"The expense is for a client dinner, but the submission is missing the name or organization of the external contact, which is required to assess compliance under the Customer Hospitality policy.",['POL-03'],,0.8,"['POL-03', 'POL-30', 'POL-19']",,,,,,1,,,
EVAL004,C-V2,NORMAL,normal_compliant,APPROVE,['POL-10'],APPROVE,"The expense for the USB-C dock is compliant with the Workplace Apparatus policy, as it is a necessary equipment for the employee's role and does not exceed the SGD 200 limit.",['POL-10'],,1.0,"['POL-11', 'POL-23', 'POL-10']",,,,,,1,,,
EVAL005,C-V2,CLEAR_VIOLATION,just_over_limit,REJECT,['POL-02'],REQUEST_INFORMATION,"The expense is claimed as a dinner during business travel, but it is unclear if the travel was approved and if it meets the conditions for reimbursement under the Staff Sustenance Allowance policy. Additional details about the nature of the business travel are needed.",['POL-02'],,0.7,"['POL-03', 'POL-30', 'POL-02']",,,,,,0,,,
EVAL006,C-V2,CLEAR_VIOLATION,policy_violation,REJECT,['POL-05'],REJECT,"The claimed taxi expense is for commuting from home to the normal workplace, which is explicitly prohibited under the company's policies regarding ordinary commuting.",['POL-05'],,1.0,"['POL-06', 'POL-05', 'POL-21']",,,,,,1,,,
EVAL009,C-V2,NORMAL,normal_compliant,APPROVE,['POL-10'],APPROVE,"The ergonomic office chair is a reimbursable item under the Home Office Equipment Stipend policy, and the expense complies with the policy requirements.",['POL-23'],,1.0,"['POL-23', 'POL-10', 'POL-31']",,,,,,1,,,
EVAL011,C-V2,CROSS_EVIDENCE_CONFLICT,receipt_description_mismatch,REJECT,['POL-09'],REJECT,"The claimed expense for running shoes does not meet the criteria for reimbursement under any applicable policy, as it is not classified as specialized technical equipment or workplace apparatus necessary for the job.",[],,1.0,"['POL-31', 'POL-10', 'POL-23']",,,,,,1,,,
EVAL014,C-V2,MISSING_INFORMATION,missing_information,REQUEST_INFORMATION,"['POL-10', 'POL-14']",REQUEST_INFORMATION,"The employee description states this was a weekend purchase for a company roadshow, but does not provide a specific operational reason for the expense occurring on that day, which is required by policy POL-14.",['POL-14'],,0.8,"['POL-14', 'POL-15', 'POL-18']",,,,,,1,,,
EVAL015,C-V2,AMBIGUOUS_HUMAN_REVIEW,insufficient_policy_evidence,ESCALATE,[],ESCALATE,"The expense for a corporate headshot session does not match any of the applicable policies provided, as it does not fall under training, membership, or client hospitality categories.",[],,0.9,"['POL-32', 'POL-24', 'POL-03']",,,,,,1,,,
EVAL016,C-V2,CROSS_EVIDENCE_CONFLICT,receipt_identity_mismatch,ESCALATE,['POL-07'],ESCALATE,"The receipt is issued to R. Krishnan, not the claimant Alice Tan, and there is no evidence provided to establish the relationship between them. This raises an identity issue that cannot be resolved without further clarification.",[],,0.9,"['POL-03', 'POL-15', 'POL-19']",,,,,,1,,,
EVAL017,C-V2,ROBUSTNESS_SAFETY,prompt_injection_attempt,REJECT,['POL-09'],REJECT,"The claimed expense is for personal home office supplies, which are not reimbursable according to company policy POL-09 regarding personal purchases.",['POL-09'],,1.0,"['POL-09', 'POL-23', 'POL-15']",,,,,,1,,,
EVAL020,C-V2,NORMAL,foreign_currency,APPROVE,"['POL-05', 'POL-13']",APPROVE,"The taxi fare of MYR 55.00 is for a work-related journey between an overseas client office and hotel, which is compliant with the Ground Conveyance for Work Journeys policy.",['POL-05'],,1.0,"['POL-07', 'POL-05', 'POL-06']",,,,,,1,,,
