case_id,description,expected_decision,expected_reasoning,C-V2_decision,C-V2_reason,C-V2_confidence,correct
EVAL001,Translation service for a contract negotiation with an overseas supplier.,ESCALATE,"No corpus policy addresses professional/translation services -- insufficient policy evidence, correctly escalated with no citation.",ESCALATE,"The claimed expense for translation services does not match any applicable policy, as it falls outside the scope of the provided policies which focus on digital tools and personal acquisitions.",0.9,YES
EVAL002,Dinner during approved business travel.,APPROVE,Applicable policy ['POL-02'] support APPROVE.,REQUEST_INFORMATION,"The employee description states the meal was during approved business travel, but it does not specify whether this was a single-day trip or an extended trip. Additionally, the business reason for the meal is not provided, which is necessary to assess compliance under the relevant policies.",0.7,NO
EVAL003,Client dinner for the Nova Systems renewal discussion.,REQUEST_INFORMATION,"[UPDATED -- dataset since corrected] POL-03 applies to this client dinner; the specific missing fact is attendee_count (needed to check whether the POL-30 large-group threshold/pre-authorisation applies) -- a nameable missing fact, not an unresolvable policy gap, so REQUEST_INFORMATION rather than ESCALATE.",REQUEST_INFORMATION,"The expense is for a client dinner, but the submission is missing the name or organization of the external contact, which is required to assess compliance under the Customer Hospitality policy.",0.8,YES
EVAL004,USB-C dock for campaign workstation.,APPROVE,Applicable policy ['POL-10'] support APPROVE.,APPROVE,"The expense for the USB-C dock is compliant with the Workplace Apparatus policy, as it is a necessary equipment for the employee's role and does not exceed the SGD 200 limit.",1.0,YES
EVAL005,Dinner during business travel.,REJECT,"SGD 42 exceeds POL-02's SGD 40/person cap -- a clear, provable violation.",REQUEST_INFORMATION,"The expense is claimed as a dinner during business travel, but it is unclear if the travel was approved and if it meets the conditions for reimbursement under the Staff Sustenance Allowance policy. Additional details about the nature of the business travel are needed.",0.7,NO
EVAL006,Taxi from home to normal workplace in the morning.,REJECT,"Ordinary home-to-workplace commuting is explicitly excluded by POL-05, with no after-hours exception applicable (morning trip).",REJECT,"The claimed taxi expense is for commuting from home to the normal workplace, which is explicitly prohibited under the company's policies regarding ordinary commuting.",1.0,YES
EVAL007,Client dinner after the quarterly business review; a large group attended.,REQUEST_INFORMATION,"Applicable policies ['POL-03', 'POL-30'] support REQUEST_INFORMATION.",REQUEST_INFORMATION,"The expense claims a client dinner but does not specify the identity of the external client or the business reason for the meal, which are required for assessment under the relevant policies.",0.8,YES
EVAL008,Conference registration related to current role.,APPROVE,"[UPDATED -- dataset since corrected] Originally REQUEST_INFORMATION on the theory that manager approval was the missing fact; manager/supervisor approval is out of scope for this prototype (Section 21) and is never a valid missing_information item, so with no other unmet condition this conference registration is APPROVE under POL-17.",ESCALATE,"The receipt is billed to Ms. Jane Tan, not the claimant Cheryl Ng, raising an identity mismatch issue that cannot be resolved with the provided evidence.",0.9,NO
EVAL009,Ergonomic office chair for home-based finance work.,APPROVE,"[UPDATED -- dataset since corrected] Originally REQUEST_INFORMATION on the theory that supervisor authorisation documentation was the missing fact; manager/supervisor approval (including the >SGD200 authorisation threshold) is out of scope for this prototype (Section 21), so with the equipment purchase itself otherwise POL-10-compliant, the decision is APPROVE.",APPROVE,"The ergonomic office chair is a reimbursable item under the Home Office Equipment Stipend policy, and the expense complies with the policy requirements.",1.0,YES
EVAL010,Dinner combining a client product-launch toast with an internal team celebration; unclear how much of the SGD 410 bill should be booked as client entertainment versus team offsite.,REQUEST_INFORMATION,[CORRECTED -- see changelog above] gt_policy_ids originally listed POL-19 (excludes dining occasions); corrected to POL-03 for this dinner.,ESCALATE,"The expense involves both a client product launch and an internal team celebration, creating ambiguity regarding which policy applies and how to allocate the costs. Additionally, there is no clear identification of an external client or business contact, which is necessary for client hospitality claims.",0.7,NO
EVAL011,Project equipment for lab testing.,REJECT,Applicable policy ['POL-09'] support REJECT.,REJECT,"The claimed expense for running shoes does not meet the criteria for reimbursement under any applicable policy, as it is not classified as specialized technical equipment or workplace apparatus necessary for the job.",1.0,YES
