case_id,predicted_decision_v1,cited_policy_ids_v1,reason_v1,retrieved_policy_ids_v1,predicted_decision_v2,cited_policy_ids_v2,reason_v2,retrieved_policy_ids_v2,expected_decision,correct_v1,correct_v2,status,likely_failure_type
EVAL001,ESCALATE,[],"The expense for translation services does not match any of the applicable policies, as it falls outside the scope of the provided policies regarding digital tools, non-home denomination claims, and personal acquisitions.","['POL-11', 'POL-13', 'POL-09']",ESCALATE,[],"The expense for translation and interpretation services does not clearly fall under any of the applicable policies, as it does not match the subject matter of the retrieved policies. Further human judgment is required to determine if this expense can be classified under a relevant policy.",,ESCALATE,True,True,STABLE_PASS,
EVAL002,REJECT,['POL-02'],"The expense does not meet the criteria for client hospitality as there is no external client mentioned, and it does not qualify under the staff sustenance allowance since the employee description does not confirm that the travel was approved or that the employee worked beyond normal hours.","['POL-03', 'POL-02', 'POL-29']",REQUEST_INFORMATION,['POL-02'],"The expense claim does not specify whether the employee was on an approved trip away from their normal workplace, which is required to assess compliance under the Staff Sustenance Allowance policy.",,APPROVE,False,False,STILL_FAILING,
EVAL003,REQUEST_INFORMATION,['POL-03'],"The claim does not specify the name of the external client or organization involved in the dinner, which is required under the Customer Hospitality policy (POL-03).","['POL-03', 'POL-30', 'POL-19']",REQUEST_INFORMATION,['POL-03'],"The expense is for a client dinner, but the submission is missing the name of the external client or organization involved in the discussion, which is required to assess compliance under the Customer Hospitality policy.",,REQUEST_INFORMATION,True,True,STABLE_PASS,
EVAL004,APPROVE,['POL-10'],"The USB-C dock is a necessary piece of equipment for the campaign workstation, and it falls under the Workplace Apparatus policy, which allows for reimbursement of equipment needed for job performance. The total amount of SGD 189.00 is within the policy limit of SGD 200.","['POL-11', 'POL-23', 'POL-10']",APPROVE,['POL-10'],"The USB-C dock is a necessary piece of equipment for the campaign workstation, which aligns with the requirements of the Workplace Apparatus policy. The total amount of SGD 189.00 is below the SGD 200 threshold that requires supervisor authorization.",,APPROVE,True,True,STABLE_PASS,
EVAL005,REJECT,['POL-02'],"The expense does not meet the criteria for reimbursement under the relevant policies, as it lacks a documented business reason and does not indicate that the claimant was on an approved trip away from their normal workplace.","['POL-03', 'POL-30', 'POL-02']",REQUEST_INFORMATION,['POL-02'],"The expense is claimed as a dinner during business travel, but it is unclear if the travel was approved and if it meets the conditions for claiming under the Staff Sustenance Allowance policy. Additional details about the nature of the business travel are needed.",,REJECT,True,False,REGRESSION,FALSE_MISSING_INFORMATION
EVAL006,REJECT,['POL-05'],"The taxi expense is for commuting from home to the normal workplace, which is explicitly not reimbursable under the company's policies.","['POL-06', 'POL-05', 'POL-21']",REJECT,['POL-05'],"The taxi expense is for ordinary commuting between home and the normal workplace, which is not reimbursable under company policy.",,REJECT,True,True,STABLE_PASS,
EVAL007,ESCALATE,"['POL-30', 'POL-03']","The expense claims to be for a client dinner, but it does not specify the identity of the external client or business contact, which is required under the relevant policies. This creates ambiguity regarding compliance with the policies.","['POL-30', 'POL-03', 'POL-04']",ESCALATE,"['POL-30', 'POL-03']","The expense appears to be for a client dinner, but the identity of the external client or business contact is not provided, which is required for compliance with the relevant policies. Additionally, the need for prior authorization under POL-30 cannot be assessed without knowing the client identity.",,REQUEST_INFORMATION,False,False,STILL_FAILING,
EVAL008,ESCALATE,[],"The receipt is billed to Ms. Jane Tan, not the claimant Cheryl Ng, creating an identity mismatch that cannot be resolved with the provided evidence.","['POL-17', 'POL-24', 'POL-32']",REQUEST_INFORMATION,['POL-17'],"The expense for the conference registration is potentially relevant to the employee's role, but there is no evidence of supervisor authorization, which is required by policy POL-17.",,APPROVE,False,False,STILL_FAILING,
EVAL009,APPROVE,['POL-23'],"The ergonomic office chair is a reimbursable item under the Home Office Equipment Stipend policy, and the expense is within the allowable limit.","['POL-23', 'POL-10', 'POL-31']",APPROVE,['POL-23'],"The ergonomic office chair is a reimbursable item under the Home Office Equipment Stipend policy, and the expense is within the allowable limit.",,APPROVE,True,True,STABLE_PASS,
EVAL010,ESCALATE,"['POL-27', 'POL-03']","The expense involves both a client product launch and an internal team celebration, creating ambiguity about which policy applies and how to allocate the costs. This requires human judgment to determine the appropriate categorization and compliance.","['POL-27', 'POL-03', 'POL-30']",ESCALATE,"['POL-27', 'POL-03']","The expense involves both a client product launch and an internal team celebration, creating ambiguity about which policy applies and how to allocate the costs. Additionally, the identity of the external client is not specified, which is necessary for compliance with the relevant policies.",,REQUEST_INFORMATION,False,False,STILL_FAILING,
