case_id,retest_group,expected_decision,C-V1_decision,predicted_decision,cited_policy_ids,reason,confidence,status,fixed,decision_correct,retest_result
EVAL002,originally_failed,APPROVE,REJECT,REQUEST_INFORMATION,['POL-02'],"The employee description states the meal was during approved business travel, but it does not specify whether this was a single-day trip or an extended trip. Additionally, the business reason for the meal is not provided, which is necessary to assess compliance under the relevant policies.",0.7,CACHED,False,0,STILL_FAILING
EVAL007,originally_failed,REQUEST_INFORMATION,ESCALATE,REQUEST_INFORMATION,"['POL-30', 'POL-03']","The expense claims a client dinner but does not specify the identity of the external client or the business reason for the meal, which are required for assessment under the relevant policies.",0.8,CACHED,True,1,FIXED
EVAL008,originally_failed,APPROVE,ESCALATE,ESCALATE,[],"The receipt is billed to Ms. Jane Tan, not the claimant Cheryl Ng, raising an identity mismatch issue that cannot be resolved with the provided evidence.",0.9,CACHED,False,0,STILL_FAILING
EVAL010,originally_failed,REQUEST_INFORMATION,ESCALATE,ESCALATE,"['POL-27', 'POL-03', 'POL-30']","The expense involves both a client product launch and an internal team celebration, creating ambiguity regarding which policy applies and how to allocate the costs. Additionally, there is no clear identification of an external client or business contact, which is necessary for client hospitality claims.",0.7,CACHED,False,0,STILL_FAILING
EVAL012,originally_failed,APPROVE,REQUEST_INFORMATION,REQUEST_INFORMATION,['POL-03'],"The expense is for a client meal, but the name of the external client (Orion Pte Ltd) is not explicitly stated in the submission, which is required for compliance with the Customer Hospitality policy.",0.8,CACHED,False,0,STILL_FAILING
EVAL013,originally_failed,REQUEST_INFORMATION,ESCALATE,REQUEST_INFORMATION,['POL-03'],"The expense involves dinner and drinks with a supplier contact, but the identity of the supplier and the specific business purpose for the meal are not documented, which are required to assess compliance under the client hospitality policy.",0.8,CACHED,True,1,FIXED
EVAL018,originally_failed,REQUEST_INFORMATION,ESCALATE,REQUEST_INFORMATION,['POL-02'],"The employee description states this meal was during business travel, but it does not specify whether the trip was approved or if it spans more than one calendar day, which is necessary to determine compliance with the relevant policies.",0.7,CACHED,True,1,FIXED
EVAL019,originally_failed,REQUEST_INFORMATION,REJECT,REQUEST_INFORMATION,"['POL-09', 'POL-15']","The receipt includes both business and personal items, but the employee has not specified which line items are being claimed for reimbursement. This information is necessary to determine compliance with the policy.",0.8,CACHED,True,1,FIXED
EVAL001,originally_passed,ESCALATE,ESCALATE,ESCALATE,[],"The claimed expense for translation services does not match any applicable policy, as it falls outside the scope of the provided policies which focus on digital tools and personal acquisitions.",0.9,CACHED,,1,STABLE_PASS
EVAL003,originally_passed,REQUEST_INFORMATION,REQUEST_INFORMATION,REQUEST_INFORMATION,['POL-03'],"The expense is for a client dinner, but the submission is missing the name or organization of the external contact, which is required to assess compliance under the Customer Hospitality policy.",0.8,CACHED,,1,STABLE_PASS
EVAL004,originally_passed,APPROVE,APPROVE,APPROVE,['POL-10'],"The expense for the USB-C dock is compliant with the Workplace Apparatus policy, as it is a necessary equipment for the employee's role and does not exceed the SGD 200 limit.",1.0,CACHED,,1,STABLE_PASS
EVAL005,originally_passed,REJECT,REJECT,REQUEST_INFORMATION,['POL-02'],"The expense is claimed as a dinner during business travel, but it is unclear if the travel was approved and if it meets the conditions for reimbursement under the Staff Sustenance Allowance policy. Additional details about the nature of the business travel are needed.",0.7,CACHED,,0,REGRESSION
EVAL006,originally_passed,REJECT,REJECT,REJECT,['POL-05'],"The claimed taxi expense is for commuting from home to the normal workplace, which is explicitly prohibited under the company's policies regarding ordinary commuting.",1.0,CACHED,,1,STABLE_PASS
EVAL009,originally_passed,APPROVE,APPROVE,APPROVE,['POL-23'],"The ergonomic office chair is a reimbursable item under the Home Office Equipment Stipend policy, and the expense complies with the policy requirements.",1.0,CACHED,,1,STABLE_PASS
EVAL011,originally_passed,REJECT,REJECT,REJECT,[],"The claimed expense for running shoes does not meet the criteria for reimbursement under any applicable policy, as it is not classified as specialized technical equipment or workplace apparatus necessary for the job.",1.0,CACHED,,1,STABLE_PASS
EVAL014,originally_passed,REQUEST_INFORMATION,REQUEST_INFORMATION,REQUEST_INFORMATION,['POL-14'],"The employee description states this was a weekend purchase for a company roadshow, but does not provide a specific operational reason for the expense occurring on that day, which is required by policy POL-14.",0.8,CACHED,,1,STABLE_PASS
EVAL015,originally_passed,ESCALATE,ESCALATE,ESCALATE,[],"The expense for a corporate headshot session does not match any of the applicable policies provided, as it does not fall under training, membership, or client hospitality categories.",0.9,CACHED,,1,STABLE_PASS
EVAL016,originally_passed,ESCALATE,ESCALATE,ESCALATE,[],"The receipt is issued to R. Krishnan, not the claimant Alice Tan, and there is no evidence provided to establish the relationship between them. This raises an identity issue that cannot be resolved without further clarification.",0.9,CACHED,,1,STABLE_PASS
EVAL017,originally_passed,REJECT,REJECT,REJECT,['POL-09'],"The claimed expense is for personal home office supplies, which are not reimbursable according to company policy POL-09 regarding personal purchases.",1.0,CACHED,,1,STABLE_PASS
EVAL020,originally_passed,APPROVE,APPROVE,APPROVE,['POL-05'],"The taxi fare of MYR 55.00 is for a work-related journey between an overseas client office and hotel, which is compliant with the Ground Conveyance for Work Journeys policy.",1.0,CACHED,,1,STABLE_PASS
