case_id,split,receipt_path,receipt_present,receipt_quality_target,employee_id,description,gt_merchant,gt_date,gt_amount,gt_currency,gt_category,gt_line_items,gt_missing_information,gt_mismatch,gt_mismatch_reason,gt_policy_ids,gt_decision,manager_approval_present,case_category,original_source
EVAL001,final_eval,data/raw/receipts/EVAL001.png,True,CLEAR,E002,Translation service for a contract negotiation with an overseas supplier.,Global Language Solutions Pte. Ltd.,2026-09-03,220.0,SGD,UNKNOWN,"[""Translation and interpretation services 220.00""]",[],False,,[],ESCALATE,False,insufficient_policy_evidence,generated_global_language_solutions_invoice.png
EVAL002,final_eval,data/raw/receipts/EVAL002.png,True,CLEAR,E002,Dinner during approved business travel.,Toast Box,2026-09-04,39.5,SGD,EMPLOYEE_MEAL,"[""Hainanese Chicken Rice Set 39.50""]",[],False,,"[""POL-02""]",APPROVE,False,boundary,minimal_toast_box_café_receipt.png
EVAL003,final_eval,data/raw/receipts/EVAL003.png,True,CLEAR,E001,Client dinner for the Nova Systems renewal discussion.,Crystal Jade Restaurant,2026-09-05,172.0,SGD,CLIENT_MEAL,"[""Dinner Set 172.00""]","[""attendee_count""]",False,,"[""POL-03""]",REQUEST_INFORMATION,False,missing_information,crystal_jade_restaurant_receipt.png
EVAL004,final_eval,data/raw/receipts/EVAL004.png,True,CLEAR,E003,USB-C dock for campaign workstation.,Challenger Technologies Limited,2026-09-06,189.0,SGD,OFFICE_EQUIPMENT,"[""USB-C dock 189.00""]",[],False,,"[""POL-10""]",APPROVE,False,normal_compliant,challenger_thermal_receipt_flat_lay.png
EVAL005,final_eval,data/raw/receipts/EVAL005.png,True,CLEAR,E002,Dinner during business travel.,Food Republic,2026-09-07,42.0,SGD,EMPLOYEE_MEAL,"[""Dinner 42.00""]",[],False,,"[""POL-02""]",REJECT,False,just_over_limit,food_republic_thermal_receipt.png
EVAL006,final_eval,data/raw/receipts/EVAL006.png,True,CLEAR,E005,Taxi from home to normal workplace in the morning.,ComfortDelGro Taxi,2026-09-08,21.0,SGD,TRANSPORT,"[""Taxi 21.00""]",[],False,,"[""POL-05""]",REJECT,False,policy_violation,comfortdelgro_taxi_receipt.png
EVAL007,final_eval,data/raw/receipts/EVAL007.png,True,CLEAR,E001,Client dinner after the quarterly business review; a large group attended.,Skai Restaurant,2026-09-09,680.0,SGD,CLIENT_MEAL,"[""Set Dinner Menu (8 guests) 624.00"", ""Corkage / Beverage Service 56.00""]","[""client_name_or_organisation""]",False,,"[""POL-03"", ""POL-30""]",REQUEST_INFORMATION,False,missing_information,skai_restaurant_receipt.png
EVAL008,final_eval,data/raw/receipts/EVAL008.png,True,CLEAR,E003,Conference registration related to current role.,AI Asia Summit,2026-09-10,390.0,SGD,TRAINING,"[""Conference registration 390.00""]",[],False,,"[""POL-17""]",APPROVE,False,normal_compliant,ai_asia_summit_receipt.png
EVAL009,final_eval,data/raw/receipts/EVAL009.png,True,CLEAR,E004,Ergonomic office chair for home-based finance work.,Newton Technology Store,2026-09-11,240.0,SGD,OFFICE_EQUIPMENT,"[""Ergonomic Office Chair 240.00""]",[],False,,"[""POL-10""]",APPROVE,False,normal_compliant,newton_technology_store_receipt.png
EVAL010,final_eval,data/raw/receipts/EVAL010.png,True,CLEAR,E001,Dinner combining a client product-launch toast with an internal team celebration; unclear how much of the SGD 410 bill should be booked as client entertainment versus team offsite.,Beast & Butterflies,2026-09-12,410.0,SGD,MIXED_EXPENSE,"[""Set Menu (10 guests, product launch + team dinner) 410.00""]","[""expense_category_clarification"", ""client_vs_internal_split""]",False,,"[""POL-03"", ""POL-27""]",REQUEST_INFORMATION,False,ambiguous_category_overlap,beast_and_butterflies_receipt.png
EVAL011,final_eval,data/raw/receipts/EVAL011.png,True,CLEAR,E002,Project equipment for lab testing.,Active Sports,2026-09-13,79.0,SGD,PERSONAL_ITEM,"[""Running shoes 79.00""]",[],True,"Receipt shows running shoes, inconsistent with project equipment.","[""POL-09""]",REJECT,False,receipt_description_mismatch,active_sports_receipt_on_white_tabletop.png
EVAL012,final_eval,data/raw/receipts/EVAL012.png,True,CLEAR,E001,Client meal with Orion Pte Ltd after a contract renewal discussion.,Bayside Grill,2026-09-14,145.0,SGD,CLIENT_MEAL,"[""Food 120.00"", ""Wine 25.00""]",[],False,,"[""POL-03"", ""POL-04""]",APPROVE,True,policy_exception,bayside_grill_receipt_on_cream_tabletop.png
