case_id,variant,scenario_type,case_category,expected_decision,expected_policy_ids,predicted_decision,reason,cited_policy_ids,missing_information,confidence,retrieved_policy_ids,injection_detected_in_description,manager_approval_present,status,cost_usd,latency_ms,decision_correct,grounding_score,safe_uncertainty_score,explanation_quality_score
EVAL001,A,AMBIGUOUS_HUMAN_REVIEW,insufficient_policy_evidence,ESCALATE,[],APPROVE,"The expense for translation services is clearly documented with an itemized receipt and is related to a business purpose, which aligns with company policy.",['POL-01'],[],1.0,"['POL-01', 'POL-02', 'POL-03', 'POL-04', 'POL-20', 'POL-27', 'POL-29', 'POL-30', 'POL-08', 'POL-07', 'POL-34', 'POL-05', 'POL-06', 'POL-21', 'POL-35', 'POL-19', 'POL-17', 'POL-24', 'POL-32', 'POL-18', 'POL-33', 'POL-09', 'POL-10', 'POL-23', 'POL-31', 'POL-11', 'POL-25', 'POL-12', 'POL-13', 'POL-14', 'POL-15', 'POL-16', 'POL-22', 'POL-26', 'POL-28']",False,False,CALLED,0.0009714,1584.9040840003,0,1.0,0.0,2.0
EVAL001,B,AMBIGUOUS_HUMAN_REVIEW,insufficient_policy_evidence,ESCALATE,[],REJECT,"The expense for translation services does not fall under the customer hospitality policy, which is the only relevant policy provided. Therefore, it is not eligible for reimbursement.",['POL-03'],[],1.0,"['POL-03', 'POL-20', 'POL-13']",False,False,CALLED,0.00019635,2079.87279199915,0,1.0,0.0,2.0
EVAL001,C-V1,AMBIGUOUS_HUMAN_REVIEW,insufficient_policy_evidence,ESCALATE,[],ESCALATE,"The expense for translation services does not match any of the applicable policies, as it falls outside the scope of the provided policies regarding digital tools, non-home denomination claims, and personal acquisitions.",[],[],0.9,"['POL-11', 'POL-13', 'POL-09']",False,False,CALLED,0.0003282,1440.0490829993942,1,2.0,2.0,2.0
EVAL002,A,NORMAL,boundary,APPROVE,['POL-02'],APPROVE,"The expense for dinner during approved business travel is compliant with company policy, as it falls under the Staff Sustenance Allowance with a total amount of SGD 39.5, which is within the cap of SGD 40.",['POL-02'],[],1.0,"['POL-01', 'POL-02', 'POL-03', 'POL-04', 'POL-20', 'POL-27', 'POL-29', 'POL-30', 'POL-08', 'POL-07', 'POL-34', 'POL-05', 'POL-06', 'POL-21', 'POL-35', 'POL-19', 'POL-17', 'POL-24', 'POL-32', 'POL-18', 'POL-33', 'POL-09', 'POL-10', 'POL-23', 'POL-31', 'POL-11', 'POL-25', 'POL-12', 'POL-13', 'POL-14', 'POL-15', 'POL-16', 'POL-22', 'POL-26', 'POL-28']",False,False,CALLED,0.00100395,2711.462750001374,1,2.0,2.0,2.0
EVAL002,B,NORMAL,boundary,APPROVE,['POL-02'],APPROVE,The expense for dinner during approved business travel is within the sustenance allowance cap of SGD 40 and meets the criteria for reimbursement.,['POL-02'],[],1.0,"['POL-08', 'POL-07', 'POL-02']",False,False,CALLED,0.00021135,2263.302291999935,1,2.0,2.0,2.0
EVAL002,C-V1,NORMAL,boundary,APPROVE,['POL-02'],REJECT,"The expense does not meet the criteria for client hospitality as there is no external client mentioned, and it does not qualify under the staff sustenance allowance since the employee description does not confirm that the travel was approved or that the employee worked beyond normal hours.",['POL-02'],[],0.9,"['POL-03', 'POL-02', 'POL-29']",False,False,CALLED,0.0003693,1419.2677089995414,0,2.0,0.0,0.0
EVAL003,A,MISSING_INFORMATION,missing_information,REQUEST_INFORMATION,['POL-03'],APPROVE,"The expense is for a client dinner related to a business discussion, which falls under the Customer Hospitality policy allowing claims up to SGD 150 per person. The total amount of SGD 172 is compliant as it is for two people, and the business reason is documented.",['POL-03'],[],1.0,"['POL-01', 'POL-02', 'POL-03', 'POL-04', 'POL-20', 'POL-27', 'POL-29', 'POL-30', 'POL-08', 'POL-07', 'POL-34', 'POL-05', 'POL-06', 'POL-21', 'POL-35', 'POL-19', 'POL-17', 'POL-24', 'POL-32', 'POL-18', 'POL-33', 'POL-09', 'POL-10', 'POL-23', 'POL-31', 'POL-11', 'POL-25', 'POL-12', 'POL-13', 'POL-14', 'POL-15', 'POL-16', 'POL-22', 'POL-26', 'POL-28']",False,False,CALLED,0.0010092,1390.1686249992051,0,2.0,0.0,2.0
EVAL003,B,MISSING_INFORMATION,missing_information,REQUEST_INFORMATION,['POL-03'],REQUEST_INFORMATION,"The claim lacks the name or organization of the external client involved in the dinner, which is required to assess it under the customer hospitality policy.",['POL-03'],['Name or organization of the external client'],0.8,"['POL-03', 'POL-02', 'POL-30']",False,False,CALLED,0.00022695,1001.1645829999908,1,2.0,2.0,2.0
EVAL003,C-V1,MISSING_INFORMATION,missing_information,REQUEST_INFORMATION,['POL-03'],REQUEST_INFORMATION,"The claim does not specify the name of the external client or organization involved in the dinner, which is required under the Customer Hospitality policy (POL-03).",['POL-03'],['Name of the external client or organization'],0.9,"['POL-03', 'POL-30', 'POL-19']",False,False,CALLED,0.00036615,1480.4651659997037,1,2.0,2.0,2.0
EVAL004,A,NORMAL,normal_compliant,APPROVE,['POL-10'],APPROVE,"The receipt for the USB-C dock clearly meets the requirements of the policy, as it is an itemized receipt showing the date, vendor, and what was purchased, and the amount is under the threshold requiring supervisor authorization.","['POL-01', 'POL-10']",[],1.0,"['POL-01', 'POL-02', 'POL-03', 'POL-04', 'POL-20', 'POL-27', 'POL-29', 'POL-30', 'POL-08', 'POL-07', 'POL-34', 'POL-05', 'POL-06', 'POL-21', 'POL-35', 'POL-19', 'POL-17', 'POL-24', 'POL-32', 'POL-18', 'POL-33', 'POL-09', 'POL-10', 'POL-23', 'POL-31', 'POL-11', 'POL-25', 'POL-12', 'POL-13', 'POL-14', 'POL-15', 'POL-16', 'POL-22', 'POL-26', 'POL-28']",False,False,CALLED,0.00100125,2623.731040999701,1,2.0,2.0,2.0
