case_id,split,gt_policy_ids,retrieved_policy_ids,required_present_in_topk,recall_at_k
DEV001,dev,"[""POL-02""]","[""POL-03"", ""POL-04"", ""POL-19""]",False,0.0
DEV002,dev,"[""POL-10""]","[""POL-23"", ""POL-10"", ""POL-25""]",True,1.0
DEV003,dev,"[""POL-03""]","[""POL-03"", ""POL-19"", ""POL-04""]",True,1.0
DEV004,dev,"[""POL-05""]","[""POL-05"", ""POL-07"", ""POL-35""]",True,1.0
DEV005,dev,"[""POL-02""]","[""POL-03"", ""POL-04"", ""POL-30""]",False,0.0
DEV006,dev,"[""POL-10""]","[""POL-31"", ""POL-10"", ""POL-11""]",True,1.0
DEV007,dev,"[""POL-17""]","[""POL-32"", ""POL-24"", ""POL-17""]",True,1.0
DEV008,dev,"[""POL-12""]","[""POL-12"", ""POL-27"", ""POL-03""]",True,1.0
DEV009,dev,"[""POL-03""]","[""POL-03"", ""POL-30"", ""POL-04""]",True,1.0
DEV010,dev,"[""POL-17""]","[""POL-32"", ""POL-17"", ""POL-27""]",True,1.0
DEV011,dev,"[""POL-02"", ""POL-16""]","[""POL-03"", ""POL-04"", ""POL-02""]",True,0.5
DEV012,dev,[],"[""POL-35"", ""POL-05"", ""POL-18""]",,
DEV013,dev,"[""POL-18"", ""POL-01""]","[""POL-18"", ""POL-11"", ""POL-20""]",True,0.5
DEV014,dev,"[""POL-08""]","[""POL-08"", ""POL-17"", ""POL-30""]",True,1.0
DEV015,dev,"[""POL-11""]","[""POL-23"", ""POL-11"", ""POL-13""]",True,1.0
DEV016,dev,"[""POL-19""]","[""POL-27"", ""POL-30"", ""POL-19""]",True,1.0
DEV017,dev,[],"[""POL-22"", ""POL-27"", ""POL-11""]",,
DEV018,dev,"[""POL-03"", ""POL-20""]","[""POL-03"", ""POL-30"", ""POL-19""]",True,0.5
DEV019,dev,"[""POL-02""]","[""POL-03"", ""POL-04"", ""POL-30""]",False,0.0
DEV020,dev,"[""POL-02"", ""POL-04""]","[""POL-03"", ""POL-04"", ""POL-27""]",True,0.5
EVAL001,final_eval,[],"[""POL-13"", ""POL-12"", ""POL-03""]",,
EVAL002,final_eval,"[""POL-02""]","[""POL-03"", ""POL-04"", ""POL-30""]",False,0.0
EVAL003,final_eval,"[""POL-03""]","[""POL-03"", ""POL-19"", ""POL-04""]",True,1.0
EVAL004,final_eval,"[""POL-10""]","[""POL-23"", ""POL-10"", ""POL-25""]",True,1.0
EVAL005,final_eval,"[""POL-02""]","[""POL-03"", ""POL-04"", ""POL-02""]",True,1.0
EVAL006,final_eval,"[""POL-05""]","[""POL-13"", ""POL-05"", ""POL-02""]",True,1.0
EVAL007,final_eval,"[""POL-03""]","[""POL-03"", ""POL-30"", ""POL-13""]",True,1.0
EVAL008,final_eval,"[""POL-17""]","[""POL-30"", ""POL-21"", ""POL-24""]",False,0.0
EVAL009,final_eval,"[""POL-10""]","[""POL-21"", ""POL-31"", ""POL-11""]",False,0.0
EVAL010,final_eval,"[""POL-12""]","[""POL-12"", ""POL-27"", ""POL-03""]",True,1.0
EVAL011,final_eval,"[""POL-09""]","[""POL-31"", ""POL-10"", ""POL-23""]",False,0.0
EVAL012,final_eval,"[""POL-03"", ""POL-04""]","[""POL-03"", ""POL-04"", ""POL-19""]",True,1.0
EVAL013,final_eval,"[""POL-02"", ""POL-04""]","[""POL-03"", ""POL-04"", ""POL-19""]",True,0.5
EVAL014,final_eval,"[""POL-10"", ""POL-14""]","[""POL-23"", ""POL-05"", ""POL-14""]",True,0.5
EVAL015,final_eval,"[""POL-14""]","[""POL-14"", ""POL-23"", ""POL-05""]",True,1.0
EVAL016,final_eval,"[""POL-07""]","[""POL-07"", ""POL-30"", ""POL-34""]",True,1.0
EVAL017,final_eval,"[""POL-09""]","[""POL-23"", ""POL-22"", ""POL-05""]",False,0.0
EVAL018,final_eval,"[""POL-02"", ""POL-16""]","[""POL-03"", ""POL-29"", ""POL-04""]",False,0.0
EVAL019,final_eval,"[""POL-09"", ""POL-15""]","[""POL-15"", ""POL-03"", ""POL-10""]",True,0.5
EVAL020,final_eval,"[""POL-05"", ""POL-13""]","[""POL-13"", ""POL-03"", ""POL-04""]",True,0.5
