policy_id,category,title,policy_text,keywords,source_document,source_section,source_heading
POL-01,RECEIPT_REQUIREMENT,Documentary Proof Threshold,"Claims over SGD 20 need an itemised receipt showing the date, vendor, and what was purchased -- a total-only receipt is not enough once you're over SGD 20. Claims of SGD 20 or less don't need itemised proof; your own written description at the time of the claim is enough. This SGD 20 limit applies per transaction, not per reporting period, and doesn't override the other eligibility rules elsewhere in this policy document. If the receipt is illegible, cropped, or otherwise unclear, follow the Indeterminate Documentary Detail policy (POL-16) instead of treating it as if no receipt was provided at all.",,Corporate_Expense_Policy.pdf,3.2,Submission standards and evidence
POL-02,EMPLOYEE_MEAL,Staff Sustenance Allowance,"You can claim your own meals only when: (a) you're on an approved trip away from your normal workplace, (b) you've worked significantly beyond normal hours with a documented reason, or (c) another clearly documented work reason applies. The cap is SGD 40 per person per meal occasion, regardless of how many items are on the bill. If several colleagues eat together with no external client present, the SGD 40 cap applies per person, not per bill. This is different from client hospitality (POL-03), which has a higher cap for a different purpose. An ordinary working day at your usual workplace, with no extended hours and no other documented reason, does not qualify at all. Finance may ask for your itinerary or timesheet to confirm eligibility where it isn't otherwise obvious.",,Corporate_Expense_Policy.pdf,4.1,"Meals, client hospitality and entertainment"
POL-03,CLIENT_MEAL,Customer Hospitality (Dining),"When you host an external client or business contact for a meal for a genuine business reason, you can claim up to SGD 150 per person, including yourself. To claim under this policy, your submission must state two things: (1) who the external contact is (their name or organisation), and (2) the business reason for the meal -- for example an account review, a contract negotiation, or a relationship-building discussion tied to real or prospective business. If either of these is missing, the claim cannot be assessed under this policy and will be sent back to you for the missing detail. If alcohol was served, see POL-04 for extra conditions that apply on top of this policy. Any amount per person above SGD 150 is not reimbursable -- you cover the difference personally, or it comes from a separate pre-agreed budget line outside this policy.",,Corporate_Expense_Policy.pdf,4.2,"Meals, client hospitality and entertainment"
POL-04,CLIENT_ENTERTAINMENT_ALCOHOL,Intoxicating Beverages,"Alcohol is not reimbursable, with one narrow exception: alcohol served as part of a qualifying client hospitality meal under POL-03 -- where the client's identity and business reason are documented and the rest of the meal is otherwise compliant -- can be claimed. Alcohol at an ordinary staff meal under POL-02 is never reimbursable, even when shared only among colleagues. Even for a qualifying client meal, Finance can still query a bill where alcohol makes up an unusually large share of the total, and a pattern of alcohol-heavy claims may be sent to a manager for review regardless of whether each individual claim is technically compliant. This policy only ever applies on top of an otherwise-valid client hospitality claim under POL-03 -- it is never a standalone way to claim alcohol on its own.",,Corporate_Expense_Policy.pdf,4.3,"Meals, client hospitality and entertainment"
POL-05,TRANSPORT,Ground Conveyance for Work Journeys,"Taxi, ride-hailing, and similar hired ground transport is reimbursable for genuine work travel -- between offices, to or from a client site, or to or from a transport terminal for an approved trip. Ordinary commuting between your home and your normal workplace is never reimbursable under this or any other policy, regardless of the transport mode or time of day, except for the narrow after-hours exception in POL-06. Choose the most cost-effective reasonable option available at the time; Finance may query a much more expensive premium option when a standard one was readily available. If a single trip mixes personal and work purposes, only claim the work portion of the fare -- see POL-15 for how to record a split like this.",,Corporate_Expense_Policy.pdf,5.1,Ground transport and local travel
POL-06,TRANSPORT,After-Hours Conveyance,"As a narrow exception to the rule that ordinary commuting isn't reimbursable, transport directly from your workplace to home is reimbursable if your working day ends at or after 22:00. This exists because of reduced public transport options and safety considerations late at night. To claim this, you must record the specific operational reason your day ran that late -- for example a critical deadline, a call scheduled to align with another time zone, or an unplanned incident. If your day ended before 22:00, this exception does not apply, even if the day felt unusually demanding to you. This is separate from POL-05, which covers ordinary daytime work travel and still applies regardless of the hour.",,Corporate_Expense_Policy.pdf,5.3,Ground transport and local travel
POL-07,HOTEL,Work-Related Lodging,"Hotel stays for an approved work trip are reimbursable up to SGD 300 per night, including standard taxes and service charges. Minibar use, laundry, and other incidental charges are never reimbursable under any policy in this document. If the nightly rate exceeds SGD 300 -- because of location, availability, or the standard of room booked -- the excess needs your supervisor's documented authorisation obtained BEFORE the booking is confirmed. Without that prior authorisation, the excess is disallowed regardless of the reason, except in genuinely exceptional cases at Finance's discretion. Book through the company's designated channels where available, since these usually offer rates below the cap and make reconciliation easier.",,Corporate_Expense_Policy.pdf,7.1,Hotels and accommodation
POL-08,AIR_TRAVEL,Air Travel Cabin Class,"The default reimbursable airfare class for an approved work trip is economy, or the carrier's most basic fare class. Any higher class -- premium economy, business, or first -- needs your supervisor's documented authorisation obtained BEFORE the booking is made. Authorisation obtained after the booking is already confirmed is not accepted, except in genuinely exceptional circumstances at Finance's discretion, such as an urgent operational need with no time for prior sign-off. Factors that can support pre-authorisation for a higher class include a long flight duration, documented medical needs, or the standard class being unavailable for the required dates. You are responsible for obtaining and submitting proof of pre-authorisation together with your fare confirmation.",,Corporate_Expense_Policy.pdf,6.1,Air travel
POL-09,PERSONAL_ITEM,Private Acquisitions,"Personal purchases -- items or services that mainly benefit you personally rather than the business -- are never reimbursable, regardless of the circumstances in which they were bought. This applies even when a personal item appears on the same receipt as an otherwise-eligible business item; in that case only the business portion may be claimed (see POL-15 for how to record the split). Describing a personal item in business-sounding terms does not change what it actually is. If your description does not appear to match what is actually shown on the receipt, that mismatch should be handled under the receipt/description-mismatch guidance rather than assessed under this policy alone, since a mismatch like this can itself be a sign of trying to claim a personal item as a business cost.",,Corporate_Expense_Policy.pdf,8.3,Office equipment and workplace purchases
POL-10,OFFICE_EQUIPMENT,Workplace Apparatus,"Equipment you genuinely need to do your job -- computer peripherals, ergonomic furniture, and similar tools of the role -- is reimbursable when there is a clear, stated operational need for it. A single item costing more than SGD 200 needs your supervisor's documented authorisation, kept together with the claim. This SGD 200 limit applies per item, not per submission -- several genuinely separate items each under SGD 200 do not need authorisation even if they add up to more than SGD 200 in total, as long as they really are separate items and not one higher-value purchase artificially split into line items to avoid this rule. Equipment bought under this policy remains company property, even where it is kept at your usual workplace or an agreed remote location. This policy covers physical tools of the role; for recurring digital-tool subscriptions, see POL-11 instead.",,Corporate_Expense_Policy.pdf,8.1,Office equipment and workplace purchases
