case_id,variant,retrieved_policy_ids,call_error,schema_valid,schema_error,m1_schema_valid,m1_error,gt_decision,correct,decision,reason,policy_ids,missing_information,recommended_action,submission_validation_failed,injection_detected,invalid_citation_detected
EVAL001,A,[],,True,,,,ESCALATE,False,REJECT,Simulated minimal-LLM decision for EVAL001.,[],[],,False,False,False
EVAL001,B,[],,True,,True,,ESCALATE,True,ESCALATE,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL001.,[],[],Simulated recommended action for decision=ESCALATE.,False,False,False
EVAL001,C,"['POL-13', 'POL-12', 'POL-03']",,True,,True,,ESCALATE,True,ESCALATE,Simulated decision based on retrieved policy evidence ['POL-13'] and structured expense evidence for EVAL001.,"[""POL-13""]",[],Simulated recommended action for decision=ESCALATE.,False,False,False
EVAL002,A,[],,True,,,,APPROVE,True,APPROVE,Simulated minimal-LLM decision for EVAL002.,[],[],,False,False,False
EVAL002,B,[],,True,,True,,APPROVE,True,APPROVE,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL002.,[],[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL002,C,"['POL-03', 'POL-04', 'POL-30']",,True,,True,,APPROVE,True,APPROVE,Simulated decision based on retrieved policy evidence ['POL-03'] and structured expense evidence for EVAL002.,"[""POL-03""]",[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL003,A,[],,True,,,,APPROVE,True,APPROVE,Simulated minimal-LLM decision for EVAL003.,[],[],,False,False,False
EVAL003,B,[],,True,,True,,APPROVE,True,APPROVE,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL003.,[],[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL003,C,"['POL-03', 'POL-19', 'POL-04']",,True,,True,,APPROVE,False,REQUEST_INFORMATION,Simulated decision based on retrieved policy evidence ['POL-03'] and structured expense evidence for EVAL003.,"[""POL-03""]",[],Simulated recommended action for decision=REQUEST_INFORMATION.,False,False,False
EVAL004,A,[],,True,,,,APPROVE,True,APPROVE,Simulated minimal-LLM decision for EVAL004.,[],[],,False,False,False
EVAL004,B,[],,True,,True,,APPROVE,True,APPROVE,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL004.,[],[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL004,C,"['POL-23', 'POL-10', 'POL-25']",,True,,True,,APPROVE,True,APPROVE,Simulated decision based on retrieved policy evidence ['POL-10'] and structured expense evidence for EVAL004.,"[""POL-10""]",[],Simulated recommended action for decision=APPROVE.,False,False,False
EVAL005,A,[],,True,,,,REJECT,True,REJECT,Simulated minimal-LLM decision for EVAL005.,[],[],,False,False,False
EVAL005,B,[],,True,,True,,REJECT,True,REJECT,Simulated decision based on retrieved policy evidence [] and structured expense evidence for EVAL005.,[],[],Simulated recommended action for decision=REJECT.,False,False,False
