case_id,scenario_type,expected_decision,predicted_decision,decision_correct,expected_policy_ids,retrieved_policy_ids,retrieval_hit,cited_policy_ids,reason
EVAL001,AMBIGUOUS_HUMAN_REVIEW,ESCALATE,ESCALATE,1,[],"['POL-11', 'POL-13', 'POL-09']",,[],"The expense for translation services does not match any of the applicable policies, as it falls outside the scope of the provided policies regarding digital tools, non-home denomination claims, and personal acquisitions."
EVAL002,NORMAL,APPROVE,REJECT,0,['POL-02'],"['POL-03', 'POL-02', 'POL-29']",True,['POL-02'],"The expense does not meet the criteria for client hospitality as there is no external client mentioned, and it does not qualify under the staff sustenance allowance since the employee description does not confirm that the travel was approved or that the employee worked beyond normal hours."
EVAL003,MISSING_INFORMATION,REQUEST_INFORMATION,REQUEST_INFORMATION,1,['POL-03'],"['POL-03', 'POL-30', 'POL-19']",True,['POL-03'],"The claim does not specify the name of the external client or organization involved in the dinner, which is required under the Customer Hospitality policy (POL-03)."
EVAL004,NORMAL,APPROVE,APPROVE,1,['POL-10'],"['POL-11', 'POL-23', 'POL-10']",True,['POL-10'],"The USB-C dock is a necessary piece of equipment for the campaign workstation, and it falls under the Workplace Apparatus policy, which allows for reimbursement of equipment needed for job performance. The total amount of SGD 189.00 is within the policy limit of SGD 200."
EVAL005,CLEAR_VIOLATION,REJECT,REJECT,1,['POL-02'],"['POL-03', 'POL-30', 'POL-02']",True,['POL-02'],"The expense does not meet the criteria for reimbursement under the relevant policies, as it lacks a documented business reason and does not indicate that the claimant was on an approved trip away from their normal workplace."
EVAL006,CLEAR_VIOLATION,REJECT,REJECT,1,['POL-05'],"['POL-06', 'POL-05', 'POL-21']",True,['POL-05'],"The taxi expense is for commuting from home to the normal workplace, which is explicitly not reimbursable under the company's policies."
EVAL007,MISSING_INFORMATION,REQUEST_INFORMATION,ESCALATE,0,"['POL-03', 'POL-30']","['POL-30', 'POL-03', 'POL-04']",True,"['POL-30', 'POL-03']","The expense claims to be for a client dinner, but it does not specify the identity of the external client or business contact, which is required under the relevant policies. This creates ambiguity regarding compliance with the policies."
EVAL008,NORMAL,APPROVE,ESCALATE,0,['POL-17'],"['POL-17', 'POL-24', 'POL-32']",True,[],"The receipt is billed to Ms. Jane Tan, not the claimant Cheryl Ng, creating an identity mismatch that cannot be resolved with the provided evidence."
EVAL009,NORMAL,APPROVE,APPROVE,1,['POL-10'],"['POL-23', 'POL-10', 'POL-31']",True,['POL-23'],"The ergonomic office chair is a reimbursable item under the Home Office Equipment Stipend policy, and the expense is within the allowable limit."
EVAL010,AMBIGUOUS_HUMAN_REVIEW,REQUEST_INFORMATION,ESCALATE,0,"['POL-03', 'POL-27']","['POL-27', 'POL-03', 'POL-30']",True,"['POL-27', 'POL-03']","The expense involves both a client product launch and an internal team celebration, creating ambiguity about which policy applies and how to allocate the costs. This requires human judgment to determine the appropriate categorization and compliance."
