policy_id,category,title,policy_text,keywords,source_document,source_section,source_heading
POL-01,RECEIPT_REQUIREMENT,Documentary Proof Threshold,"Every application for reimbursement must be supported by evidence appropriate to its size. Where the sum claimed exceeds SGD 20, the Claimant must attach documentary proof of an itemised nature — that is, a record produced by the vendor at the point of sale that sets out the date, the payee, and a breakdown of what was purchased or consumed. A summary total alone, without itemisation, does not satisfy this requirement once the SGD 20 threshold is crossed. Where the sum claimed is SGD 20 or less, itemised proof is encouraged as good practice but is not compulsory; the Claimant's own account of the expenditure, entered at the time of submission, will generally suffice. This distinction exists because the administrative cost of chasing documentation for very small sums generally exceeds the value of the control it provides. For the avoidance of doubt, this threshold applies per individual transaction, not per reporting period, and does not exempt a Claimant from the substantive eligibility rules found elsewhere in this document. Where documentation is illegible, incomplete, or otherwise cannot be relied upon, refer to the provisions on indeterminate documentary detail rather than treating the absence of proof as a simple submission failure.",,Corporate_Expense_Policy.pdf,3.2,Submission standards and evidence
POL-02,EMPLOYEE_MEAL,Staff Sustenance Allowance,"Reimbursement of day-to-day sustenance purchased by a Claimant while carrying out their duties is available only in defined circumstances. Repayment is permitted where the expenditure is tied to a sanctioned journey undertaken away from the Claimant's usual place of work, to sanctioned hours worked substantially beyond the ordinary working day, or to another rationale that has been recorded in writing at the time of the claim and that a reasonable observer would recognise as connected to the performance of the Claimant's duties. Repayment is capped at SGD 40 per individual for each such occasion of sustenance, regardless of how many items are purchased or how many colleagues share the same bill; where several colleagues dine together without an external party present, the cap applies per person, not per receipt. This is distinct from hospitality extended to an external counterpart, which is addressed separately and carries a materially higher ceiling because it serves a different commercial purpose. A Claimant travelling on an ordinary working day within their usual base of operations, with no extended hours and no other documented rationale, has no entitlement under this clause. Finance may request the underlying itinerary or timesheet where the connection to a sanctioned journey or extended hours is not otherwise apparent from the submission.",,Corporate_Expense_Policy.pdf,4.1,"Meals, client hospitality and entertainment"
POL-03,CLIENT_MEAL,Customer Hospitality (Dining),"Where a Claimant hosts an external counterpart at a dining occasion for a genuine commercial purpose, the cost may be repaid up to SGD 150 for each person present, inclusive of the Claimant. This higher ceiling, relative to ordinary staff sustenance, reflects the relationship-building function such occasions serve. Entitlement under this clause depends on two pieces of information being recorded at the time of submission: the identity of the external counterpart or the organisation they represent, and the commercial rationale for the occasion — for instance, an account review, a contract negotiation, or a relationship-building discussion tied to a live or prospective piece of business. A submission that omits either element cannot be assessed under this clause and will instead be referred back to the Claimant for the missing detail. Where the occasion also involves beverages of an intoxicating nature, refer to the separate provisions on such beverages, which impose additional conditions. Where the total per head materially exceeds the stated ceiling, the excess is not repayable and should be borne personally by the Claimant or absorbed against a specific pre-agreed budget line, which falls outside the scope of this policy.",,Corporate_Expense_Policy.pdf,4.2,"Meals, client hospitality and entertainment"
POL-04,CLIENT_ENTERTAINMENT_ALCOHOL,Intoxicating Beverages,"Beverages of an intoxicating nature are, as a general rule, excluded from reimbursement. This exclusion applies without exception to ordinary staff sustenance under the sustenance allowance provisions: a Claimant may not recover the cost of such beverages consumed in the course of a routine meal taken alone or with colleagues only. A narrow exception exists where the beverages are consumed as part of a dining or hospitality occasion for an external counterpart that otherwise satisfies the applicable hospitality provisions of this document — that is, the counterpart's identity and the commercial rationale have been recorded, and the balance of the occasion is itself compliant. Even within this exception, Finance retains discretion to query a disproportionate share of the total bill attributable to such beverages, and a pattern of claims weighted heavily toward them may be referred for manager review regardless of the technical eligibility of any single claim. This clause should be read together with the provisions on customer hospitality (dining), of which it forms a qualification rather than a standalone entitlement; a claim cannot rely on this clause in the absence of an otherwise-compliant hospitality occasion.",,Corporate_Expense_Policy.pdf,4.3,"Meals, client hospitality and entertainment"
POL-05,TRANSPORT,Ground Conveyance for Work Journeys,"Fares paid for hired ground conveyance — including metered vehicles, ride-hailing services, and comparable private-hire arrangements — are repayable where the journey undertaken is genuinely connected to the Claimant's duties, such as travel between office locations, to and from a client site, or to and from a transport terminal in connection with a sanctioned trip. Ordinary commuting between a Claimant's residence and their habitual place of work is not repayable under this or any other clause of this document, regardless of the mode of conveyance used or the time of day at which it occurs, save for the narrow after-hours exception described separately. Claimants are expected to select the most cost-effective reasonable option available at the time; a materially more expensive premium service where a standard equivalent was readily available may be queried by Finance. Journeys undertaken for a mixture of personal and work reasons on the same trip should be apportioned, with only the work-related portion claimed; refer to the provisions on combined proof-of-purchase for guidance on how such apportionment should be recorded and justified in the submission.",,Corporate_Expense_Policy.pdf,5.1,Ground transport and local travel
POL-06,TRANSPORT,After-Hours Conveyance,"As a narrow exception to the general rule that ordinary commuting is not repayable, conveyance taken directly from the Claimant's place of duty to their residence may be repaid where the Claimant's working day concludes at or after 22:00. This exception exists in recognition of the reduced availability and increased cost of public transport alternatives late in the evening, and the safety considerations associated with late-night travel. To rely on this exception, the Claimant must record, at the time of the claim, the operational reason the working day extended to that hour — for example, a critical deadline, an overseas call scheduled to align with another time zone, or an unplanned incident requiring resolution outside ordinary hours. A working day that concludes before 22:00 does not qualify, even where the Claimant subjectively felt the day had been unusually demanding. This clause is not a substitute for, and should not be confused with, the general provisions on ground conveyance for work journeys, under which travel during the working day for a business purpose remains separately repayable regardless of the hour.",,Corporate_Expense_Policy.pdf,5.3,Ground transport and local travel
POL-07,HOTEL,Work-Related Lodging,"Overnight lodging secured in connection with a sanctioned work journey is repayable up to SGD 300 for each night of stay, inclusive of standard taxes and service charges levied by the establishment but exclusive of incidental charges such as minibar consumption, laundry, or entertainment services, which are not repayable under any clause of this document. Where the nightly rate at the chosen establishment exceeds this ceiling — whether because of location, availability at the time of booking, or the standard of accommodation selected — the excess requires documented pre-authorisation from the Claimant's supervisor, obtained and recorded before the booking is confirmed wherever practicable. A booking made without such pre-authorisation, where the rate exceeds the ceiling, will have the excess disallowed regardless of the underlying justification, save in genuinely exceptional circumstances at Finance's discretion. Claimants are expected to book through the company's designated channels where these are available, as doing so typically secures negotiated rates below the general ceiling and simplifies the reconciliation of the claim against the underlying booking confirmation.",,Corporate_Expense_Policy.pdf,7.1,Hotels and accommodation
POL-08,AIR_TRAVEL,Air Travel Cabin Class,"The standard cabin class for which the cost of air travel is repayable, in connection with a sanctioned work journey, is the most basic fare class offered by the carrier on the relevant route, commonly marketed as the economy or equivalent tier. Any elevated cabin tier — including premium economy, business, or first class — requires documented pre-authorisation from the Claimant's supervisor, obtained before the booking is made. Pre-authorisation granted after the fact, once the booking has already been confirmed, will not be accepted save in genuinely exceptional circumstances at Finance's discretion, such as an operational requirement that arose with insufficient notice to obtain prior sign-off. Factors that may support pre-authorisation for an elevated tier include, without limitation, a flight duration exceeding a certain number of hours, a Claimant's documented medical circumstances, or a demonstrated absence of the standard tier at the time of booking on the required dates. The onus rests with the Claimant to obtain and retain evidence of pre-authorisation and to submit it together with the underlying fare confirmation.",,Corporate_Expense_Policy.pdf,6.1,Air travel
POL-09,PERSONAL_ITEM,Private Acquisitions,"Acquisitions of a private nature — that is, items or services that primarily benefit the Claimant personally rather than serving a genuine business purpose — fall outside the scope of this document in their entirety and are never repayable, irrespective of the circumstances in which they were purchased. This exclusion applies with equal force where a private acquisition appears on the same proof-of-purchase as an otherwise-eligible business cost; in such cases, only the business-related portion may be claimed, following the apportionment guidance found in the provisions on combined proof-of-purchase. The exclusion also applies where a Claimant has described a private acquisition in terms that suggest a business connection; the description offered by the Claimant does not, of itself, alter the underlying nature of the item purchased. Where the description provided in a submission does not appear, on its face, to match the item shown on the accompanying documentation, the submission should be treated under the provisions addressing such inconsistencies rather than assessed under this clause alone, since a mismatch of this kind may itself indicate an attempt to claim a private acquisition as a business cost.",,Corporate_Expense_Policy.pdf,8.3,Office equipment and workplace purchases
POL-10,OFFICE_EQUIPMENT,Workplace Apparatus,"Apparatus reasonably required for a Claimant to carry out their duties — spanning items such as computing peripherals, ergonomic furniture, and similar tools of the role — is repayable where a genuine operational need is apparent from the description of the item and its intended use. A single item of apparatus costing more than SGD 200 requires documented authorisation from the Claimant's supervisor, recorded and retained together with the claim; this threshold applies per item rather than per submission, so that a claim comprising several items each below the threshold does not require authorisation even where their combined total exceeds it, provided each is genuinely a separate item rather than components of a single higher-value purchase artificially split across line items to avoid the requirement. Apparatus acquired under this clause is understood to remain company property notwithstanding that it may be kept at the Claimant's usual place of work or, where remote or hybrid arrangements apply, at a location agreed with the Claimant's supervisor. This clause is concerned with tools of the role generally; digital-tool access fees of a recurring nature are instead addressed under the separate provisions on such fees.",,Corporate_Expense_Policy.pdf,8.1,Office equipment and workplace purchases
